,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter,change,interest_year,vacancy_year,adj_price_year,adj_value_year
2010-01-30,4.98,10.6,217.488,155000.0,173226.94293131,71268.29986022216,79648.96588837546,73476.44696715317,1,0.9878313942399392,0.99404869251578,0.9770882205593661,0.9670199471577444
2010-02-06,5.01,10.6,217.281,150000.0,173156.90943275738,69035.02837339666,79692.61437160055,73588.29214413917,1,0.9941234831717928,0.9931531531531532,0.947494620110942,0.9692175920372268
2010-02-13,4.97,10.6,217.281,147500.0,173156.90943275738,67884.44456717338,79692.61437160055,72713.88467025635,1,0.9872411948964778,0.9922592259225922,0.9322040742361554,0.9706589644161255
2010-02-20,4.93,10.6,217.281,150000.0,173156.90943275738,69035.02837339666,79692.61437160055,73588.29214413917,1,0.9801567577900974,0.9913669064748202,0.9481283362372739,0.9721046302552115
2010-02-27,5.05,10.6,217.281,155000.0,173156.90943275738,71336.19598584321,79692.61437160055,75935.38588982465,1,1.003976143141153,0.9904761904761905,0.9795215112475828,0.9735546087666914
2010-03-06,4.97,10.6,217.353,155000.0,173153.41640124528,71312.56527400127,79664.60844858146,75506.79330936146,1,0.9884494760192764,0.9895870736086175,0.9796001283851503,0.9746726998066162
2010-03-13,4.95,10.6,217.353,152000.0,173153.41640124528,69932.32207514964,79664.60844858146,73665.16420425508,1,0.9852254459159459,0.988699551569507,0.9608070274382545,0.9760081059318446
2010-03-20,4.96,10.6,217.353,166500.0,173153.41640124528,76603.49753626589,79664.60844858146,76657.81150005295,1,0.9874803782686933,0.9878136200716846,1.0507933824952649,0.9773471763767922
2010-03-27,4.99,10.6,217.353,155000.0,173153.41640124528,71312.56527400127,79664.60844858146,77808.82969074443,1,0.9934150076569678,0.9869292748433304,0.9781510200650061,0.9786899262443768
2010-04-03,5.08,10.6,217.403,160000.0,173257.5112038564,73596.04053301932,79694.16760755666,75825.46356931138,1,1.0104425658876182,0.9860465116279069,1.0086722316649064,0.9803931524487176
2010-04-10,5.21,10.6,217.403,152000.0,173257.5112038564,69916.23850636836,79694.16760755666,73527.7222490292,1,1.0345986404949208,0.9860465116279069,0.9589850810075682,0.981575308817393
2010-04-17,5.07,10.6,217.403,155000.0,173257.5112038564,71296.16426636247,79694.16760755666,76744.56009742423,1,1.00602915362894,0.9860465116279071,0.9773484423163186,0.9827603195120218
2010-04-24,5.07,10.6,217.403,154000.0,173257.5112038564,70836.18901303111,79694.16760755666,74906.36704119851,1,1.0050703366246045,0.9860465116279069,0.9709334718750748,0.9839481948827883
2010-05-01,5.06,10.6,217.403,159740.0,173317.71873619143,73476.44696715317,79721.86158249492,76514.78596539602,1,1.0020946795140342,0.9860465116279069,1.006338279877499,0.9854747964103283
2010-05-08,5.0,10.6,217.29,159900.0,173317.71873619143,73588.29214413917,79763.32032591994,74108.74483189016,1,0.989383157654401,0.9860465116279069,1.0081786015544103,0.9870210473912862
2010-05-15,4.93,10.6,217.29,158000.0,173317.71873619143,72713.88467025635,79763.32032591994,73420.4283164237,1,0.9751978088861838,0.9860465116279069,0.9955960504759797,0.9880278713866381
2010-05-22,4.84,10.6,217.29,159900.0,173317.71873619143,73588.29214413917,79763.32032591994,73420.4283164237,0,0.9574678536102867,0.9860465116279071,1.0073493566076601,0.9890367515279027
2010-05-29,4.78,10.6,217.29,165000.0,173317.71873619143,75935.38588982465,79763.32032591994,73420.4283164237,0,0.945742333155772,0.9860465116279069,1.0386111691555642,0.9900476941201403
2010-06-05,4.79,10.6,217.199,164000.0,173174.78062746336,75506.79330936146,79730.92906848712,74447.37143511625,0,0.9481537875904075,0.9860465116279069,1.0332790428052383,0.9906659109421152
2010-06-12,4.72,10.6,217.199,160000.0,173174.78062746336,73665.16420425508,79730.92906848712,76508.990951781,1,0.9363293022546064,0.9860465116279069,1.0082963456201302,0.991388030720312
2010-06-19,4.75,10.6,217.199,166500.0,173174.78062746336,76657.81150005295,79730.92906848712,71011.33890734166,0,0.9453098090244558,0.9860465116279069,1.0486475346123512,0.9921112040067557
2010-06-26,4.69,10.6,217.199,169000.0,173174.78062746336,77808.82969074443,79730.92906848712,69636.92589623183,0,0.9358403683806603,0.9860465116279069,1.0641159653764074,0.9928354331085909
2010-07-03,4.58,10.3,217.605,165000.0,172633.8175315304,75825.46356931138,79333.57116404973,73256.21349215439,0,0.9168463196797044,0.9586540182566673,1.0372624859217403,0.9887032241798431
2010-07-10,4.57,10.3,217.605,160000.0,172633.8175315304,73527.7222490292,79333.57116404973,68436.55123610383,0,0.9174935330682215,0.9600286789747269,1.007325649222371,0.9894027543921673
2010-07-17,4.57,10.3,217.605,167000.0,172633.8175315304,76744.56009742423,79333.57116404973,69851.85016093319,0,0.919730629305674,0.9614072877400826,1.0507785211584502,0.9901032751726867
2010-07-24,4.56,10.3,217.605,163000.0,172633.8175315304,74906.36704119851,79333.57116404973,68938.75408039811,0,0.9197827773467804,0.9627898615854756,1.0261331867281274,0.9908047886269296
2010-07-31,4.54,10.3,217.605,166500.0,172633.8175315304,76514.78596539602,79333.57116404973,71221.4942817358,0,0.9180990899898889,0.9641764176417642,1.0478585495684491,0.9915072968663964
2010-08-07,4.49,10.3,217.923,161500.0,171834.61113680952,74108.74483189016,78851.06718281664,68309.12154469694,0,0.9106794601763009,0.9655669731386335,1.016138180117655,0.9861764856054943
